#Frame          test2   test2[Max]
     246      16.2969      37.3886
     247      16.3305      35.8763
     248      16.2590      37.0216
     249      16.2608      35.9517
     250      16.2563      36.6797
     251      16.2601      36.3011
     252      16.3414      36.4212
     253      16.3997      36.3277
     254      16.2922      36.6040
     255      16.2933      36.2797
     256      16.3129      36.6402
     257      16.3381      36.4907
     258      16.3008      36.2424
     259      16.2783      36.1901
     260      16.2921      36.6394
     261      16.2869      36.4260
     262      16.3312      36.6284
     263      16.3373      36.9479
     264      16.2796      36.3425
     265      16.3177      36.3234
     266      16.3223      35.9335
     267      16.3455      36.6613
     268      16.2486      37.3468
     269      16.2994      36.6217
     270      16.3206      37.0343
     271      16.3138      36.6515
     272      16.3081      36.6423
     273      16.3110      36.5460
     274      16.3537      36.2617
     275      16.3412      37.0528
     276      16.3276      36.4510
     277      16.3187      36.5434
     278      16.3439      36.5764
     279      16.2200      36.0112
     280      16.3531      36.7188
     281      16.3921      36.9082
     282      16.3572      36.7185
     283      16.3119      36.4402
     284      16.2824      36.2970
     285      16.3262      36.1912
     286      16.2919      36.3617
     287      16.3168      36.2939
     288      16.2497      36.1861
     289      16.2532      36.3984
     290      16.3029      36.6618
     291      16.3190      36.3535
     292      16.2859      36.2445
     293      16.2992      36.3845
     294      16.3025      37.1587
     295      16.3800      36.5382
     296      16.3391      36.7752
     297      16.3555      36.5116
     298      16.2878      36.5313
     299      16.3195      36.5555
     300      16.3693      36.4100
     301      16.3035      36.6033
     302      16.3593      36.5388
     303      16.2740      36.1742
     304      16.3017      36.4867
     305      16.2866      36.9037
     306      16.2533      36.9736
     307      16.2486      36.4181
     308      16.3065      36.8308
     309      16.3338      36.7970
     310      16.2889      36.3946
     311      16.2622      36.0377
     312      16.3714      36.6212
     313      16.4020      36.5655
     314      16.2989      36.6601
     315      16.3900      37.1730
     316      16.4103      36.6792
     317      16.3016      36.1505
     318      16.3731      36.8636
     319      16.4421      36.6750
     320      16.3408      36.7910
     321      16.2817      36.0657
     322      16.3301      35.9007
     323      16.3690      37.0099
     324      16.2865      36.4015
     325      16.4042      36.3190
     326      16.2507      36.2535
     327      16.3677      36.9179
     328      16.3911      37.2051
     329      16.3817      36.8094
     330      16.3782      36.5615
     331      16.2839      36.4793
     332      16.3754      36.7489
     333      16.4024      36.6502
     334      16.3525      36.7922
     335      16.4078      35.1742
     336      16.3877      36.8429
     337      16.3488      36.5155
     338      16.3448      36.7110
     339      16.3859      36.9514
     340      16.2835      36.4745
     341      16.3844      37.0586
     342      16.3901      36.9630
     343      16.4311      37.3207
     344      16.4144      36.7767
     345      16.2976      37.1294
     346      16.3730      36.9044
     347      16.4216      36.9326
     348      16.3392      36.6585
     349      16.3436      36.4003
     350      16.4019      37.6266
     351      16.2821      36.1619
     352      16.3520      36.8070
     353      16.3735      36.4489
     354      16.3886      36.5385
     355      16.3740      36.8133
     356      16.4083      36.6628
     357      16.3696      36.7642
     358      16.3541      36.1218
     359      16.3471      36.5238
     360      16.3507      36.3327
     361      16.2701      35.7907
     362      16.4365      37.2928
     363      16.3987      36.6476
     364      16.2754      35.6729
     365      16.3015      36.4216
     366      16.4053      37.3624
     367      16.3820      36.9434
     368      16.3399      35.8678
     369      16.2607      36.2126
     370      16.3199      36.8620
     371      16.2348      36.7079
     372      16.4053      36.5532
     373      16.2977      36.2540
     374      16.2880      36.5410
     375      16.3912      36.4432
     376      16.3545      36.0995
     377      16.2665      35.9221
     378      16.4301      37.0309
     379      16.4174      36.9544
     380      16.4192      37.0372
     381      16.3346      36.2579
     382      16.3261      36.3075
     383      16.4316      36.8048
     384      16.2936      36.3755
     385      16.4741      36.3545
     386      16.2717      36.4129
     387      16.3946      37.0488
     388      16.2771      37.1705
     389      16.2577      36.9484
     390      16.2637      36.6989
     391      16.4454      37.2248
     392      16.4195      37.5503
     393      16.3283      36.6081
     394      16.3084      36.4457
     395      16.3509      36.5551
     396      16.3895      37.0342
     397      16.3813      36.8934
     398      16.3671      36.8234
     399      16.3535      36.7018
     400      16.4441      37.6554
     401      16.2428      36.5243
     402      16.4630      37.2533
     403      16.3265      37.4869
     404      16.4656      37.7433
     405      16.3238      37.1727
     406      16.3774      36.9299
     407      16.3880      36.8455
     408      16.3244      36.7893
     409      16.4253      37.4137
     410      16.3930      37.1549
     411      16.3969      37.1865
     412      16.3958      37.4949
     413      16.3093      36.5543
     414      16.4243      36.8162
     415      16.3878      36.7840
     416      16.4284      36.5901
     417      16.3671      36.6491
     418      16.4335      37.0590
     419      16.4224      37.7586
     420      16.4582      37.3654
     421      16.3178      36.4748
     422      16.4595      37.5064
     423      16.4382      36.8205
     424      16.4204      37.3501
     425      16.2342      36.6279
     426      16.3580      36.9580
     427      16.3043      36.2624
     428      16.2903      36.3404
     429      16.3143      36.0978
     430      16.3117      36.7281
     431      16.2973      36.6289
     432      16.2354      36.6222
     433      16.2915      36.6298
     434      16.2766      36.5214
     435      16.3075      36.4344
     436      16.3353      36.5444
     437      16.3143      36.1292
     438      16.2724      36.2107
     439      16.2677      35.8627
     440      16.2471      35.8980
     441      16.2630      35.6402
     442      16.2746      35.9886
     443      16.3124      36.4482
     444      16.2380      36.2034
     445      16.2516      36.6159
     446      16.2361      36.1670
     447      16.2429      36.4958
     448      16.3087      36.2470
     449      16.3074      35.8822
     450      16.3291      36.4219
     451      16.3458      36.3124
     452      16.2817      36.4765
     453      16.3078      36.0166
     454      16.3887      36.4301
     455      16.3931      37.1327
     456      16.3504      37.0709
     457      16.3218      36.7356
     458      16.4179      36.6353
     459      16.4137      37.0293
     460      16.3201      36.6306
     461      16.3414      36.5304
     462      16.3373      36.7369
     463      16.3548      36.6018
     464      16.3372      37.0582
     465      16.3747      36.5796
     466      16.3743      36.8112
     467      16.3394      36.4191
     468      16.3286      36.5958
     469      16.3153      36.2503
     470      16.3335      36.2437
     471      16.3748      36.5279
     472      16.2804      36.7249
     473      16.3842      37.0942
     474      16.3363      36.4468
     475      16.2936      36.3843
     476      16.3188      35.9620
     477      16.3680      35.9420
     478      16.3534      36.0317
     479      16.3010      36.4604
     480      16.3428      36.5057
     481      16.3332      36.2363
     482      16.3500      36.2506
     483      16.3185      36.1248
     484      16.2992      35.9164
     485      16.2991      35.6910
     486      16.3242      35.8580
     487      16.3428      37.0092
     488      16.3359      36.6124
     489      16.3428      36.9794
     490      16.3360      36.6048
     491      16.3571      36.6112
     492      16.3626      36.5467
     493      16.3213      36.5007
     494      16.3781      36.8865
     495      16.3327      36.3807
     496      16.3539      36.1020
     497      16.3598      36.8732
     498      16.3479      35.9055
     499      16.3433      36.1914
     500      16.4059      37.0139
     501      16.4171      36.8686
     502      16.3601      36.4560
     503      16.3897      36.5846
