#Frame          test1   test1[Max]
     246       7.7238      12.6410
     247      36.1941      46.6426
     248       7.4978      12.7576
     249       7.3835      12.7270
     250       7.8651      12.5224
     251       7.5616      12.5093
     252       7.7686      12.9694
     253       7.6326      12.6401
     254       7.6650      12.6685
     255       7.7381      12.5644
     256       7.5887      12.0045
     257       7.7063      12.6629
     258       7.9500      13.1935
     259       7.7923      12.7586
     260       7.8256      12.2942
     261       7.6667      12.7222
     262       7.7024      12.6387
     263       7.6992      12.8446
     264       7.4958      12.2356
     265       7.6102      12.3825
     266       7.5581      12.9281
     267       7.8676      13.1586
     268       7.5661      12.0867
     269       7.3387      12.0150
     270       7.6354      12.3894
     271       7.5150      12.1622
     272       7.7195      13.1114
     273       7.5406      12.2546
     274       7.6560      13.0634
     275      38.9239      50.9746
     276       7.6963      13.2323
     277       7.5186      12.4722
     278       7.6999      13.0095
     279       7.5958      14.0528
     280      35.5636      47.7254
     281       7.6152      13.2477
     282       7.8481      13.6096
     283       7.8770      13.2146
     284       7.6088      12.6073
     285       7.5714      13.6433
     286       7.6312      12.7661
     287       7.7678      13.0133
     288       7.6095      12.1954
     289       7.7219      13.1573
     290       7.6252      13.0834
     291       7.3876      12.5246
     292       7.6865      13.1269
     293       7.4013      12.0306
     294       7.4332      12.1180
     295       7.5114      12.4107
     296       7.7160      13.5671
     297       7.4977      12.1983
     298      34.9508      44.6134
     299       7.7211      13.2351
     300       7.8789      12.5129
     301      36.3606      46.7948
     302      35.0815      44.8455
     303      35.1753      45.1485
     304      35.0779      45.0998
     305       7.8230      13.5843
     306       7.3666      12.1694
     307       7.9199      12.3640
     308       7.6535      13.0797
     309       7.9748      12.2451
     310       7.4340      12.2251
     311       7.6061      12.6970
     312       7.6395      12.5585
     313       7.6102      13.1539
     314      39.0955      51.4542
     315       7.6439      13.2245
     316       7.7652      14.1560
     317       7.6099      12.8743
     318       7.7703      13.0654
     319      39.0732      51.3437
     320      39.2366      51.5173
     321       7.5697      13.0188
     322      39.0976      51.1642
     323       7.5939      12.4788
     324       7.7038      12.7847
     325       7.7985      12.9204
     326       7.7238      12.7453
     327       7.6736      12.6996
     328       7.5780      12.7862
     329       8.0558      13.5302
     330       7.6362      13.2816
     331       7.6475      12.4825
     332       7.6361      12.4685
     333       7.8646      12.7870
     334       8.0557      13.4172
     335       7.5705      13.2109
     336       7.7508      12.7855
     337       7.6472      13.3032
     338       7.6653      12.9901
     339       8.0819      12.6677
     340       7.8775      12.8189
     341       7.8686      12.7603
     342       7.7476      12.7223
     343       7.7223      12.0711
     344       7.9058      12.6197
     345       7.9108      12.9643
     346       7.6245      12.6278
     347       7.6865      12.1073
     348       7.7326      12.6785
     349       7.8410      13.2220
     350       7.7016      13.2734
     351       7.6651      11.7030
     352       7.6370      12.6031
     353       7.6587      13.4231
     354       7.8670      13.0053
     355       7.6680      12.8492
     356       7.8744      13.4154
     357       7.7205      13.3317
     358      39.0684      51.8437
     359       7.7619      12.9749
     360      35.8986      48.6733
     361       7.7228      12.9304
     362       7.6876      13.5676
     363       7.8460      13.6652
     364      42.2464      52.9143
     365      42.2716      52.7088
     366       7.8435      13.4109
     367       7.6544      12.9223
     368       7.6132      12.6208
     369       7.5141      12.7236
     370       7.5727      12.5759
     371       7.6282      13.3595
     372       7.5025      12.2591
     373       7.8210      13.5773
     374       7.7948      12.8566
     375       7.8589      12.7421
     376       7.6363      12.9957
     377       7.8106      12.8997
     378      36.5649      47.2319
     379       7.9280      14.0905
     380       7.9288      14.2575
     381       7.9618      13.5484
     382       7.3583      12.7698
     383       7.9170      14.2467
     384       7.4263      12.7053
     385       7.8835      13.4938
     386       7.4734      12.7775
     387       7.3468      12.4550
     388      36.3657      47.5585
     389      36.0806      46.9644
     390      36.1286      47.0822
     391       8.0641      14.1609
     392       7.6524      12.7522
     393       7.5009      12.6159
     394      36.4654      47.3330
     395       7.5034      12.9017
     396      34.7972      45.5970
     397       7.5835      13.1723
     398       7.7227      12.6697
     399      35.5733      48.3864
     400      36.4375      47.1654
     401      36.4808      47.1765
     402       7.8850      12.4075
     403       7.5075      12.2747
     404      36.2576      46.8400
     405       7.8317      12.8970
     406       7.8600      12.5504
     407       7.6249      12.2035
     408      36.3415      47.1112
     409      41.9222      53.4381
     410       7.5562      12.6978
     411       7.7976      12.5907
     412       7.6761      13.0662
     413       7.8057      12.5623
     414       7.9897      13.1525
     415       7.6402      13.1002
     416       7.6522      12.1267
     417       7.7250      12.4960
     418       7.8019      13.2467
     419       7.8233      12.5342
     420       7.5157      12.9985
     421       7.5211      12.6231
     422       7.8717      12.9774
     423       7.7573      13.3980
     424       7.7068      13.4136
     425       8.0149      13.1640
     426       7.8055      13.0549
     427       7.7309      13.0086
     428       7.5129      12.3800
     429       7.5914      12.4015
     430       8.0193      13.1848
     431       7.5556      12.8587
     432       7.7074      13.1545
     433       7.5987      12.2508
     434      35.8397      48.8093
     435       7.6515      13.0521
     436       7.9404      12.9854
     437       7.6776      12.9386
     438       7.7088      13.0506
     439       8.1265      12.9199
     440       7.9422      12.8548
     441       7.6097      12.6248
     442       7.6659      12.7299
     443       7.6625      12.5835
     444       7.5864      12.1958
     445       7.5762      12.4880
     446       7.6754      12.6453
     447       7.6435      12.0177
     448      36.1912      46.9283
     449       7.4851      12.7937
     450      35.9981      46.5880
     451      36.1044      46.9643
     452       8.0708      13.3416
     453       7.9949      12.4973
     454       7.9701      12.7148
     455       7.9474      13.3023
     456      36.2364      46.8786
     457       8.0691      13.7155
     458      36.4720      47.2470
     459       7.9499      13.3267
     460      36.1389      46.8805
     461       7.6797      12.7304
     462       7.6746      12.7191
     463      35.8073      48.9099
     464      35.8544      48.6986
     465       7.6858      12.8384
     466       7.6592      12.7495
     467       7.7004      12.6783
     468       7.7462      13.2278
     469       7.6633      12.3169
     470       7.7412      12.8500
     471      37.0037      45.6559
     472       7.5390      12.3028
     473      35.4444      48.1136
     474       7.6307      12.5915
     475       7.6026      12.5432
     476       7.6679      13.1440
     477       7.9256      13.2285
     478       7.6098      12.1490
     479       7.9244      13.1598
     480       7.6476      12.7621
     481       7.9200      12.1742
     482       7.4142      12.3244
     483       7.9149      13.0097
     484       7.5243      11.7702
     485       7.8915      13.5566
     486       7.8762      13.4990
     487       7.3205      11.8016
     488       7.5259      12.9113
     489       7.8064      12.6226
     490       7.5174      11.9575
     491       7.6335      12.4021
     492       7.4111      12.1945
     493      37.0642      46.8383
     494       7.2752      11.5488
     495       7.2853      11.9695
     496       7.5579      12.6559
     497       8.0595      13.7394
     498       7.8333      12.6376
     499       7.3697      12.3597
     500       8.0445      13.7462
     501       8.0592      13.8284
     502       7.4156      12.3750
     503       8.0620      13.8667
     504       7.3768      11.4248
     505       8.0662      13.6586
     506       7.4444      11.8071
     507       7.6455      11.8394
     508      35.8720      48.4355
     509       7.4292      12.0818
     510       7.4624      12.1252
     511       7.4121      12.0193
     512       7.9817      13.9746
     513      42.1021      52.8454
     514      42.1214      52.7662
     515       7.4939      12.1272
     516       7.9668      13.6047
     517       7.5799      12.3913
     518       7.6260      13.3001
     519       7.5754      12.5655
     520       7.5942      13.4447
     521       7.6291      13.0107
     522       7.9364      13.2494
     523      34.9891      46.0861
     524       7.5230      12.2686
     525       8.0581      14.3049
     526       7.7802      13.3882
     527       7.5046      12.1085
     528       8.1285      14.3522
     529       7.5802      12.0810
     530      35.0185      46.4359
     531      39.7155      52.1587
     532       7.7833      13.5653
     533      35.0196      45.8636
     534      34.9738      46.0967
     535      34.9265      46.0020
     536       7.6336      12.7041
     537       7.7193      12.6586
     538      35.1325      46.2310
     539       7.7578      12.9106
     540      39.5768      52.0450
     541       7.8433      13.0896
     542      35.2150      46.1681
     543       7.6149      12.1181
     544       7.6301      12.1456
     545       7.4489      12.3129
     546      39.4183      52.0535
     547       7.6684      13.3416
     548       7.7559      12.2768
     549       7.8415      12.5448
     550      39.6337      52.0996
     551       7.6172      12.7466
     552       7.6609      12.9378
     553      39.7656      52.2373
     554       7.6192      13.1010
     555       7.9492      12.7194
     556      39.7145      52.1302
     557       7.6547      12.8116
     558       7.9924      13.1914
     559       7.9885      12.6668
     560      39.5961      51.9318
     561      37.1759      47.4826
     562      37.1871      46.9280
     563       7.7767      12.9992
     564       8.0265      12.2409
     565       7.7019      12.5667
     566       7.9224      13.2125
     567      39.5358      52.0863
     568       7.4666      12.2194
     569       7.4758      12.0691
     570      39.7652      51.8632
     571      39.5842      51.9586
     572      39.4443      51.4198
     573       7.9228      12.8801
     574       7.9835      13.5718
     575       7.8978      13.4339
     576       7.7626      13.3753
     577       7.8363      13.0782
     578       7.4323      12.2950
     579       7.4829      12.1935
     580       7.4724      12.3964
     581       7.9239      13.5066
     582       7.7679      12.6263
     583       7.4788      12.2471
     584       7.8483      13.0332
     585      39.5756      52.1652
     586      39.5926      52.2186
     587       7.8057      12.8676
     588       7.7901      13.8710
     589       7.5570      12.4207
     590       7.6006      12.7601
     591       7.8504      13.0342
     592       7.6341      13.1663
     593       7.8683      13.3578
     594       7.3852      13.0117
     595       8.0162      13.2597
     596       7.7487      12.9320
     597       7.8786      13.0673
     598      37.3093      46.8387
     599       8.0295      13.4478
     600      37.3332      46.0096
     601       7.5119      12.5184
     602       8.0456      12.5239
     603       8.0764      13.0492
     604       7.6585      12.5237
     605       8.0699      13.0560
     606       7.5822      12.8825
     607      39.2118      49.4599
     608      37.3811      46.5339
     609       8.1130      13.4296
     610       7.4576      12.7664
     611       7.4787      13.5286
     612       7.3550      12.5844
     613       7.6879      12.4071
     614       7.5187      13.0162
     615       7.3827      13.1163
     616       7.5413      12.0301
     617       7.4112      12.6089
     618       7.7850      12.6490
     619       7.7016      12.5337
     620       7.5128      12.9247
     621       7.7237      13.5737
     622       7.5986      12.7612
     623       7.4346      11.7817
     624       7.3758      12.3414
     625       7.4610      13.1015
     626       7.3812      11.8441
     627       7.5959      13.6071
     628       7.8180      12.6879
     629       7.9484      13.4648
     630       7.9210      13.3531
