#Frame          test3   test3[Max]
     246      15.4586      26.6884
     247      15.5493      26.6301
     248      15.5321      26.4746
     249      15.6059      27.0561
     250      15.5467      26.7020
     251      15.5055      26.6810
     252      15.5520      26.5484
     253      15.5636      26.6335
     254      15.6288      26.8385
     255      15.4958      27.1659
     256      15.4810      26.8467
     257      15.4344      27.0373
     258      15.4912      26.8494
     259      15.5169      26.8405
     260      15.5376      26.8692
     261      15.4688      26.9103
     262      15.5858      26.6197
     263      15.5301      26.6108
     264      15.5117      26.8311
     265      15.5204      26.8157
     266      15.5849      26.8366
     267      15.5609      26.5937
     268      15.5079      26.8740
     269      15.5897      26.8507
     270      15.5687      27.0323
     271      15.6241      26.6596
     272      15.6106      26.8981
     273      15.5967      26.9983
     274      15.5176      27.0047
     275      15.5078      27.5614
     276      15.5604      27.4319
     277      15.5314      26.9413
     278      15.5853      27.5798
     279      15.4736      26.7186
     280      15.5624      27.1139
     281      15.5399      26.7260
     282      15.5750      26.9830
     283      15.4961      26.6792
     284      15.4874      27.3636
     285      15.4566      26.6068
     286      15.5673      26.5814
     287      15.5103      26.8064
     288      15.4825      26.7757
     289      15.4938      26.7905
     290      15.5127      26.8373
     291      15.4720      26.6229
     292      15.4542      26.6418
     293      15.4849      27.0528
     294      15.4804      26.4790
     295      15.5810      26.8620
     296      15.6538      27.2613
     297      15.5237      26.7974
     298      15.4541      26.9210
     299      15.4699      26.7304
     300      15.5693      26.7630
     301      15.4719      26.9259
     302      15.5652      27.0321
     303      15.4563      27.0757
     304      15.5799      26.6202
     305      15.4365      27.0240
     306      15.4350      26.9345
     307      15.5720      26.8102
     308      15.5205      26.7662
     309      15.5315      26.9595
     310      15.4987      26.8775
     311      15.5299      27.1194
     312      15.5336      26.8325
     313      15.5194      27.0646
     314      15.5162      26.9990
     315      15.5285      26.5729
     316      15.6164      27.0409
     317      15.4487      27.2959
     318      15.6054      27.0709
     319      15.5355      26.2844
     320      15.5471      26.5789
     321      15.5082      27.1261
     322      15.4807      27.0277
     323      15.5660      26.9321
     324      15.4492      27.1322
     325      15.5308      27.0115
     326      15.4720      26.9830
     327      15.5998      26.7801
     328      15.5525      26.5520
     329      15.5601      27.0978
     330      15.5841      26.8490
     331      15.6250      27.0842
     332      15.5691      26.9558
     333      15.6683      27.1690
     334      15.6145      26.9810
     335      15.4879      26.6033
     336      15.5811      26.9981
     337      15.6188      26.9578
     338      15.5766      26.9546
     339      15.5842      26.8527
     340      15.6302      27.3435
     341      15.4724      26.8972
     342      15.5901      26.7200
     343      15.4867      26.7072
     344      15.4924      26.8872
     345      15.6333      27.2780
     346      15.5758      26.6986
     347      15.5181      26.8735
     348      15.6262      26.9442
     349      15.6447      26.9403
     350      15.5153      26.7801
     351      15.6378      26.8449
     352      15.5667      26.7497
     353      15.5713      26.8358
     354      15.5898      26.7352
     355      15.5797      26.9084
     356      15.6151      26.7216
     357      15.6088      26.7947
     358      15.5902      26.7864
     359      15.6073      26.9625
     360      15.5791      26.4845
     361      15.4814      26.5616
     362      15.5640      27.4414
     363      15.5251      27.6633
     364      15.5044      27.1695
     365      15.5854      26.7874
     366      15.5386      26.9342
     367      15.5018      26.8265
     368      15.6260      27.8282
     369      15.5506      27.2600
     370      15.5840      26.8293
     371      15.6760      28.3025
     372      15.5015      26.7699
     373      15.4659      27.1135
     374      15.5470      26.8838
     375      15.5236      26.6635
     376      15.5355      26.7036
     377      15.5168      26.8224
     378      15.4635      26.5972
     379      15.5238      26.9569
     380      15.4448      26.7499
     381      15.5370      27.2285
     382      15.5615      26.9012
     383      15.5179      26.9499
     384      15.6139      26.9816
     385      15.5270      26.8663
     386      15.6011      27.9251
     387      15.5062      26.9867
     388      15.6442      27.3657
     389      15.6378      27.8394
     390      15.6110      27.4236
     391      15.4888      27.1902
     392      15.4982      27.1584
     393      15.6123      27.1116
     394      15.5803      27.1511
     395      15.5546      26.9061
     396      15.4652      27.0255
     397      15.5850      26.8682
     398      15.5717      27.0625
     399      15.5771      27.0082
     400      15.5286      26.6625
     401      15.6466      27.7828
     402      15.5544      26.7801
     403      15.5426      27.0008
     404      15.5970      26.9453
     405      15.5351      26.6719
     406      15.5263      26.8936
     407      15.5265      26.8171
     408      15.5899      26.7590
     409      15.4922      27.2173
     410      15.4962      27.1565
     411      15.5192      27.0319
     412      15.5330      26.9507
     413      15.5017      26.8757
     414      15.5050      26.7651
     415      15.4872      26.7885
     416      15.5124      27.0251
     417      15.4976      26.7384
     418      15.5498      27.0896
     419      15.5417      26.9615
     420      15.4950      26.9195
     421      15.6208      27.4457
     422      15.4827      26.7010
     423      15.4899      26.5388
     424      15.5401      27.0635
     425      15.5187      26.6560
     426      15.6079      27.0287
     427      15.5060      26.5979
     428      15.4868      26.4839
     429      15.4864      26.4445
     430      15.6120      27.5231
     431      15.4666      26.6534
     432      15.5971      27.2280
     433      15.5611      26.9556
     434      15.5278      27.3045
     435      15.5175      27.1933
     436      15.5752      26.6143
     437      15.4668      26.6564
     438      15.5240      26.3555
     439      15.5366      26.6938
     440      15.5752      26.8437
     441      15.5658      26.9267
     442      15.5473      26.5571
     443      15.5603      27.6551
     444      15.5565      26.8360
     445      15.5378      27.4133
     446      15.5612      26.6922
     447      15.5204      27.0384
     448      15.5365      26.8597
     449      15.5221      26.8613
     450      15.6298      26.9511
     451      15.5687      26.5530
     452      15.5679      26.8467
     453      15.5089      26.4055
     454      15.4883      26.5586
     455      15.5623      26.9956
     456      15.5903      26.7785
     457      15.5979      27.1129
     458      15.6034      26.6168
     459      15.5890      27.0374
     460      15.5200      26.9770
     461      15.5515      27.1193
     462      15.4947      27.3310
     463      15.5763      26.6619
     464      15.5349      27.0868
     465      15.6182      27.1199
     466      15.6176      26.9666
     467      15.5795      26.8543
     468      15.5797      27.5183
