#Frame           test    test[Max]
     246      15.6585      27.1973
     247      18.7981      67.3686
     248      15.4946      27.0569
     249      15.5296      26.9857
     250      15.6508      27.1541
     251      15.5073      26.6538
     252      15.4959      26.4964
     253      15.4960      27.0640
     254      15.4779      27.1061
     255      15.5261      27.2140
     256      15.5156      27.2916
     257      15.5058      26.7746
     258      15.5252      26.9086
     259      15.5546      28.2253
     260      15.4792      26.8229
     261      15.5588      26.2125
     262      15.5105      27.1529
     263      15.6165      26.6171
     264      15.5452      27.1556
     265      15.5679      27.1826
     266      15.5405      27.1092
     267      15.6156      26.9842
     268      15.5006      27.0584
     269      15.4600      26.8964
     270      15.5254      26.8364
     271      15.4649      26.6857
     272      15.5880      27.1007
     273      15.4734      26.7177
     274      15.4799      26.4948
     275      20.2219      80.9222
     276      15.5688      27.2546
     277      15.4895      26.8438
     278      15.6141      27.2898
     279      15.4719      26.3262
     280      19.2091      72.8057
     281      15.5382      26.3988
     282      15.5782      27.1895
     283      15.5015      27.2206
     284      15.5278      26.8732
     285      15.5783      26.3907
     286      15.5337      27.3512
     287      15.5132      27.1704
     288      15.4694      26.8836
     289      15.5976      26.5027
     290      15.6287      27.1052
     291      15.5119      27.3994
     292      15.5586      26.7363
     293      15.4136      26.7892
     294      15.4735      27.3382
     295      15.5001      27.0503
     296      15.6427      27.4560
     297      15.5705      27.2254
     298      18.6697      65.0557
     299      15.6048      26.8879
     300      15.4451      26.9164
     301      18.6943      66.3419
     302      18.6496      65.0842
     303      18.6809      65.4158
     304      18.6641      65.3890
     305      15.6708      27.2156
     306      15.4174      26.9299
     307      15.4843      26.7660
     308      15.6122      26.8559
     309      15.4825      26.9253
     310      15.5611      27.3231
     311      15.6059      27.8512
     312      15.5728      27.3473
     313      15.6121      26.8425
     314      20.1187      81.0747
     315      15.5445      27.3021
     316      15.5562      26.9656
     317      15.5845      26.7827
     318      15.6365      27.0266
     319      20.1302      81.1000
     320      20.1643      81.4570
     321      15.6344      26.7720
     322      20.1581      81.0229
     323      15.5728      27.4333
     324      15.6002      27.0932
     325      15.4500      26.6258
     326      15.4329      26.1117
     327      15.6097      27.0350
     328      15.5103      26.6015
     329      15.4252      27.0399
     330      15.5430      26.9904
     331      15.5504      26.8718
     332      15.6009      27.3959
     333      15.4599      26.8955
     334      15.4785      27.1585
     335      15.5669      26.4194
     336      15.6612      27.0394
     337      15.4730      27.1334
     338      15.4869      26.9963
     339      15.4935      27.0128
     340      15.6947      26.8708
     341      15.5017      27.1729
     342      15.5768      27.0008
     343      15.6248      27.2535
     344      15.5157      27.1614
     345      15.6596      27.0703
     346      15.5289      27.4350
     347      15.6247      27.2736
     348      15.6436      27.4129
     349      15.6750      26.9019
     350      15.5167      26.8651
     351      15.5587      27.1992
     352      15.5855      26.9219
     353      15.5886      27.2254
     354      15.5615      27.1097
     355      15.5993      27.2787
     356      15.5887      27.1608
     357      15.5154      27.1537
     358      20.1103      80.9168
     359      15.5311      27.5351
     360      19.2425      73.1895
     361      15.5217      27.1779
     362      15.4837      26.6258
     363      15.5741      27.4323
     364      19.7784      75.0080
     365      19.7639      74.7595
     366      15.5286      26.7241
     367      15.6498      27.1576
     368      15.5975      27.0440
     369      15.6060      27.1400
     370      15.6072      27.1063
     371      15.5177      26.6307
     372      15.6060      27.0591
     373      15.5263      27.1691
     374      15.5837      27.1281
     375      15.5700      27.2555
     376      15.4481      27.2727
     377      15.5338      27.1915
     378      18.8070      67.1794
     379      15.6107      26.9322
     380      15.6528      27.0094
     381      15.5834      27.0603
     382      15.5159      26.9937
     383      15.5779      26.6333
     384      15.5496      27.2446
     385      15.5857      27.1961
     386      15.5635      27.1064
     387      15.5976      27.3432
     388      18.5672      66.5632
     389      18.5663      65.7345
     390      18.5362      65.8796
     391      15.5371      26.8527
     392      15.5586      27.2678
     393      15.5959      27.1540
     394      18.6530      66.1833
     395      15.4834      26.9848
     396      18.6919      66.0635
     397      15.5533      26.6198
     398      15.4695      26.6354
     399      19.1959      73.5157
     400      18.6284      65.9402
     401      18.6117      65.9324
     402      15.5042      26.9673
     403      15.5739      26.8059
     404      18.6965      65.4742
     405      15.5010      26.8087
     406      15.5527      27.2952
     407      15.5546      26.6164
     408      18.6270      65.9699
     409      19.6731      76.4764
     410      15.4839      27.1847
     411      15.5513      26.8923
     412      15.6420      27.2518
     413      15.4944      26.6978
     414      15.5118      26.7166
     415      15.5313      26.7649
     416      15.4618      26.9875
     417      15.5610      26.6771
     418      15.5599      26.9192
     419      15.5768      27.3981
     420      15.6466      26.8211
     421      15.6173      27.2872
     422      15.5937      27.2020
     423      15.6470      27.1019
     424      15.5728      27.0527
     425      15.5258      26.8888
     426      15.5187      26.6087
     427      15.5602      26.4301
     428      15.6568      27.0513
     429      15.5857      26.9777
     430      15.4896      27.2189
     431      15.5130      26.7401
     432      15.6057      26.9534
     433      15.6095      27.6339
     434      19.3708      75.5145
     435      15.5981      26.6641
     436      15.4705      27.0107
     437      15.5932      26.6705
     438      15.5728      26.6913
     439      15.4800      27.2127
     440      15.5908      27.1945
     441      15.4968      27.0881
     442      15.5917      27.4405
     443      15.6020      27.3427
     444      15.6087      27.2577
     445      15.6087      27.0639
     446      15.5603      27.1213
     447      15.5688      27.5009
     448      18.7127      66.6545
     449      15.4985      26.7924
     450      18.6628      66.1654
     451      18.6905      66.4506
     452      15.4770      26.7234
     453      15.5506      26.9166
     454      15.4993      26.9357
     455      15.4733      26.9071
     456      18.7237      66.2056
     457      15.5166      26.9342
     458      18.7412      66.8520
     459      15.5552      27.4766
     460      18.6770      66.2781
     461      15.5263      26.9711
     462      15.6735      26.6591
     463      19.1788      73.4381
     464      19.3707      74.8398
     465      15.6302      27.2739
     466      15.6298      27.1344
     467      15.5653      27.0898
     468      15.6066      27.8710
     469      15.6218      26.9975
     470      15.5681      26.7812
     471      19.3773      70.2936
     472      15.5355      26.9995
     473      19.1563      72.4420
     474      15.6058      27.1431
     475      15.5770      27.2121
     476      15.6063      27.0994
     477      15.6556      28.2443
     478      15.5417      27.1476
     479      15.6126      27.9176
     480      15.5736      27.1682
     481      15.5598      27.3832
     482      15.5364      27.1886
     483      15.4978      27.4735
     484      15.6201      27.2334
     485      15.5851      27.4406
     486      15.6185      27.5067
     487      15.5378      27.1758
     488      15.4042      26.6160
     489      15.6116      27.4834
     490      15.6366      27.0765
     491      15.5918      26.8469
     492      15.5712      27.4437
     493      19.3559      71.3222
     494      15.5671      27.0654
     495      15.5882      27.1479
     496      15.5584      27.6388
     497      15.4874      27.4113
     498      15.6030      26.8446
     499      15.6044      27.3593
     500      15.5273      27.0622
     501      15.5258      26.9038
     502      15.5833      27.1364
     503      15.5507      27.3018
     504      15.5728      26.9797
     505      15.5225      26.9363
     506      15.5868      27.1190
     507      15.5933      27.1557
     508      19.3705      74.9301
     509      15.5636      27.3798
     510      15.5875      27.1272
     511      15.5299      27.4786
     512      15.5292      27.0207
     513      19.6066      74.8054
     514      19.6291      74.6821
     515      15.6012      27.5742
     516      15.4994      26.8417
     517      15.5646      26.9549
     518      15.4568      26.4930
     519      15.6335      27.3158
     520      15.4437      27.0713
     521      15.4576      26.9775
     522      15.5086      27.0768
     523      18.6589      66.3671
     524      15.6532      27.1173
     525      15.5043      26.7553
     526      15.4457      26.5370
     527      15.5627      27.0656
     528      15.5066      26.8646
     529      15.6243      27.2617
     530      18.5831      66.5253
     531      20.0612      80.2160
     532      15.5597      26.8547
     533      18.6351      66.1933
     534      18.6194      66.2999
     535      18.6000      66.2196
     536      15.4637      26.7422
     537      15.4359      27.0952
     538      18.6421      66.2170
     539      15.4861      26.6015
     540      20.0809      80.2580
     541      15.6338      27.1863
     542      18.6518      66.2815
     543      15.6209      27.6184
     544      15.6739      28.2429
     545      15.6646      26.7742
     546      20.0528      80.2314
     547      15.5748      26.5722
     548      15.4587      27.1611
     549      15.4681      26.9788
     550      20.0402      79.8017
     551      15.4535      26.7111
     552      15.5643      27.3356
     553      20.0633      79.9264
     554      15.5016      27.1889
     555      15.5024      26.9718
     556      19.9883      79.6858
     557      15.5530      26.7113
     558      15.5131      26.8145
     559      15.5176      26.6583
     560      19.9896      79.6338
     561      19.3878      71.2479
     562      19.3793      70.8368
     563      15.5314      26.8131
     564      15.4781      26.6183
     565      15.5871      26.9971
     566      15.5844      27.3849
     567      20.0008      79.6211
     568      15.7079      26.4112
     569      15.7125      26.8818
     570      20.0226      79.5502
     571      19.9516      79.3154
     572      19.9579      79.1687
     573      15.4564      26.8714
     574      15.5867      27.1957
     575      15.5694      27.1464
     576      15.5937      26.4695
     577      15.5695      26.5403
     578      15.5156      26.7090
     579      15.5806      26.9640
     580      15.5674      26.8919
     581      15.6167      26.7389
     582      15.5200      27.0225
     583      15.5606      26.4153
     584      15.5465      26.5926
     585      20.0190      80.0196
     586      19.9810      79.9940
     587      15.4998      26.9867
     588      15.4810      26.7985
     589      15.4608      26.5502
     590      15.5111      26.9912
     591      15.5162      26.9780
     592      15.4848      26.5751
     593      15.6312      26.8880
     594      15.5177      26.6692
     595      15.5571      27.0198
     596      15.5639      27.3658
     597      15.5612      26.5462
     598      19.3864      70.9497
     599      15.6324      26.8056
     600      19.3547      70.4519
     601      15.5892      26.6590
     602      15.5399      27.0333
     603      15.5528      26.8094
     604      15.4757      26.9435
     605      15.5318      26.7032
     606      15.5802      27.3891
     607      20.6080      81.3114
     608      19.3382      70.7335
     609      15.5823      27.1632
     610      15.5372      27.1335
     611      15.5504      27.3567
     612      15.5275      27.1770
