#Frame          test1   test1[Max]
     246       7.3092      12.0381
     247       7.6218      12.7827
     248       7.5250      12.3718
     249       7.7058      13.2440
     250       7.2923      11.7804
     251       7.4843      11.6748
     252       7.2616      11.7742
     253       7.2331      11.7257
     254       7.4278      12.4412
     255       7.4393      11.8396
     256       7.3220      11.9300
     257       7.4834      12.0665
     258       7.3191      11.9363
     259       7.3027      11.8104
     260       7.3912      12.2416
     261       7.5466      12.4504
     262       7.3087      11.9505
     263       7.2387      11.8823
     264       7.5225      12.5431
     265       7.2895      11.9593
     266       7.3178      11.9425
     267       7.2127      11.6903
     268       7.6080      12.0530
     269       7.1146      11.4859
     270       7.3847      11.9690
     271       7.4411      11.9142
     272       7.4849      12.3260
     273       7.5357      11.6293
     274       7.3241      11.6365
     275       7.3657      12.0415
     276       7.3728      12.0310
     277       7.2589      11.7663
     278       7.3261      12.0295
     279       7.5415      11.8023
     280       7.3225      11.7455
     281       7.4581      12.1398
     282       7.5355      12.0627
     283       7.4232      11.8428
     284       7.5310      11.8483
     285       7.5316      12.0907
     286       7.4537      12.4207
     287       7.5837      12.6619
     288       7.4847      11.9078
     289       7.4126      11.5892
     290       7.4949      11.9739
     291       7.5412      11.6081
     292       7.4503      11.7024
     293       7.6298      12.8801
     294       7.5925      12.8039
     295       7.4756      12.1751
     296       7.4109      12.4746
     297       7.5707      12.9620
     298       7.5326      12.4432
     299       7.5395      13.2262
     300       7.4677      12.0255
     301       7.4955      12.9503
     302       7.4326      12.0710
     303       7.5917      12.3685
     304       7.4426      12.0755
     305       7.4975      13.3271
     306       7.4339      13.1845
     307       7.6069      12.2077
     308       7.5067      12.2012
     309       7.6732      11.7034
     310       7.5673      12.1014
     311       7.5848      12.3508
     312       7.4713      12.8642
     313       7.4713      12.3596
     314       7.5877      12.3385
     315       7.2982      12.7947
     316       7.5723      12.3989
     317       7.4946      13.1467
     318       7.4544      12.0147
     319       7.3870      12.3928
     320       7.3990      12.1636
     321       7.5416      13.4767
     322       7.6505      13.1520
     323       7.4893      12.2422
     324       7.6469      13.3216
     325       7.3079      12.3729
     326       7.4747      12.6022
     327       7.3899      12.0471
     328       7.4562      12.2729
     329       7.5303      12.0722
     330       7.4935      12.3052
     331       7.5152      12.1169
     332       7.4454      11.9623
     333       7.4560      12.1096
     334       7.5281      12.0810
     335       7.4405      12.5016
     336       7.5521      12.4311
     337       7.4919      12.5220
     338       7.5212      12.3022
     339       7.4932      12.1980
     340       7.5688      12.3928
     341       7.5376      12.7282
     342       7.4468      12.4889
     343       7.4845      12.6668
     344       7.4559      12.6023
     345       7.5361      12.5520
     346       7.5925      12.9150
     347       7.2620      12.6596
     348       7.6501      12.9388
     349       7.5277      12.7879
     350       7.4341      12.6328
     351       7.5772      12.4597
     352       7.5455      12.4420
     353       7.6036      12.5463
     354       7.4999      12.3884
     355       7.5960      12.4095
     356       7.5203      12.1896
     357       7.4361      12.0593
     358       7.4040      12.0677
     359       7.4898      12.2777
     360       7.4516      11.6418
     361       7.4618      12.9056
     362       7.3956      12.8420
     363       7.4972      12.8978
     364       7.5801      13.6887
     365       7.3876      11.8564
     366       7.3074      12.6498
     367       7.3993      12.3134
     368       7.6199      12.5399
     369       7.6594      13.4536
     370       7.4180      12.6326
     371       7.6054      12.1071
     372       7.4328      12.6388
     373       7.6421      13.3481
     374       7.4208      11.8276
     375       7.4015      12.9642
     376       7.5149      12.8997
     377       7.4015      12.9023
     378       7.4237      12.9205
     379       7.3887      12.9879
     380       7.4009      13.1662
     381       7.3349      12.4621
     382       7.4498      12.8798
     383       7.4168      12.7557
     384       7.4409      12.9623
     385       7.3080      12.1511
     386       7.7503      12.4462
     387       7.3938      12.7538
     388       7.6743      12.0475
     389       7.6797      12.5280
     390       7.7497      12.7205
     391       7.3185      12.8495
     392       7.3264      13.2330
     393       7.4901      13.0177
     394       7.4687      12.8682
     395       7.5099      12.5322
     396       7.4381      12.8399
     397       7.5947      12.9168
     398       7.6448      12.8072
     399       7.4943      12.7828
     400       7.4434      13.1225
     401       7.6801      12.4792
     402       7.5037      12.9555
     403       7.4510      13.0203
     404       7.4602      13.0772
     405       7.4349      12.3511
     406       7.4375      12.2079
     407       7.3798      12.4586
     408       7.3878      12.3369
     409       7.4503      12.8443
     410       7.4805      12.4566
     411       7.4309      12.8343
     412       7.4751      13.0517
     413       7.4874      12.0933
     414       7.4294      12.6005
     415       7.4131      12.5507
     416       7.4632      12.6637
     417       7.4739      12.0094
     418       7.4424      12.7281
     419       7.4256      13.0150
     420       7.3401      12.4788
     421       7.8010      13.2293
     422       7.3844      12.7510
     423       7.3164      12.8388
     424       7.4536      12.7919
     425       7.5753      13.1452
     426       7.5306      12.4719
     427       7.5505      13.3556
     428       7.5730      13.5395
     429       7.4825      13.1443
     430       7.6446      12.2480
     431       7.6006      13.4318
     432       7.6349      12.2134
     433       7.6089      13.3940
     434       7.5742      13.1259
     435       7.5115      13.0982
     436       7.3455      12.4428
     437       7.6317      13.1158
     438       7.6867      13.2251
     439       7.6276      13.3110
     440       7.5709      13.1515
     441       7.5452      13.2604
     442       7.5598      13.2239
     443       7.6830      12.9916
     444       7.6316      13.1110
     445       7.5977      13.5559
     446       7.5873      13.5943
     447       7.5509      13.7219
     448       7.5260      13.1554
     449       7.5339      12.9374
     450       7.6116      13.1272
     451       7.5850      13.0246
     452       7.5654      12.9163
     453       7.4976      13.2734
     454       7.2451      11.6887
     455       7.2046      11.5910
     456       7.6906      12.7770
     457       7.6285      12.6644
     458       7.2578      11.5354
     459       7.3658      11.8791
     460       7.5292      13.6118
     461       7.5940      13.8657
     462       7.6031      13.8806
     463       7.2546      11.9014
     464       7.6178      13.2114
     465       7.3497      11.6371
     466       7.3654      11.5160
     467       7.2955      11.3595
     468       7.5950      14.0286
     469       7.4685      13.2462
     470       7.2781      11.1936
     471       7.5411      12.9850
     472       7.6145      13.8738
     473       7.5859      13.7705
     474       7.5267      13.9180
     475       7.5720      14.1378
     476       7.3602      11.8739
     477       7.2038      11.6285
     478       7.3704      11.8892
     479       7.4946      11.9456
     480       7.5061      12.0141
     481       7.3787      11.7598
     482       7.4155      11.8860
     483       7.3774      11.9168
     484       7.3714      11.9742
     485       7.3167      12.0348
     486       7.2458      11.6411
     487       7.4682      13.5124
     488       7.3820      11.7987
     489       7.5326      13.6109
     490       7.4565      11.7757
     491       7.4313      11.8801
     492       7.5118      11.8800
     493       7.5874      13.7558
     494       7.3494      11.6431
     495       7.4994      11.8619
     496       7.5068      11.8256
     497       7.4184      12.0307
     498       7.5306      12.0495
     499       7.3865      11.8380
     500       7.7160      12.8948
     501       7.6431      12.8817
     502       7.3153      11.4517
     503       7.3348      11.3646
     504       7.6434      13.4816
     505       7.7017      12.7020
     506       7.6214      12.4025
     507       7.6221      12.4916
     508       7.6284      14.1156
     509       7.5873      12.4367
     510       7.4731      12.4114
     511       7.4581      12.0443
     512       7.4651      12.1424
     513       7.5738      11.9939
     514       7.4824      12.8422
     515       7.5006      13.0314
     516       7.3144      11.8417
     517       7.4742      12.4646
     518       7.4792      12.4925
     519       7.4897      12.6952
     520       7.5670      12.6470
     521       7.5156      12.7162
     522       7.3394      11.6663
     523       7.3483      11.7652
