#Frame   WS_00005[lower] WS_00005[upper]
    1554               6              14
    1555               3              14
    1556               3              13
    1557               5              13
    1558               3              12
    1559               4              14
    1560               6              15
    1561               6              17
    1562               7              19
    1563               8              19
    1564               8              19
    1565               7              17
    1566               4              15
    1567               7              19
    1568               8              15
    1569               8              14
    1570               8              19
    1571               7              20
    1572               8              19
    1573               8              19
    1574               8              16
    1575               7              19
    1576               4              11
    1577               8              18
    1578               6              12
    1579               6              16
    1580               6              13
    1581               5              13
    1582               5              14
    1583               5              10
    1584               4              14
    1585               4              15
    1586               5              13
    1587               5              12
    1588               6              11
    1589               6              10
    1590               7              13
    1591               6              14
    1592               4              11
    1593               3              11
    1594               7              15
    1595               3              12
    1596               6              13
    1597               6              10
    1598               7              12
    1599               3              11
    1600               5              12
    1601               2              14
    1602               6              11
    1603               7              12
    1604               7              15
    1605               6              16
    1606               6              13
    1607               6              12
    1608               6              11
    1609               5              13
    1610               6              14
    1611               4              10
    1612               4              14
    1613               6              12
    1614               6              11
    1615               5              13
    1616               5              14
    1617               5              14
    1618               5              16
    1619               4              15
    1620               4              15
    1621               4              16
    1622               5              12
    1623               4              13
    1624               4              11
    1625               5              10
    1626               5              16
    1627               2              13
    1628               5              12
    1629               4              11
    1630               5              11
    1631               5              17
    1632               6              13
    1633               6              11
    1634               5               8
    1635               5              14
    1636               3              13
    1637               6              12
    1638               4              11
    1639               6              12
    1640               4              16
    1641               5              14
    1642               5              12
    1643               5              10
    1644               5              12
    1645               5              14
    1646               4              12
    1647               4              11
    1648               4              10
    1649               4              10
    1650               3              14
    1651               6              15
    1652               4              13
    1653               5              10
    1654               4              12
    1655               3              11
    1656               3               9
    1657               5              14
    1658               3              10
    1659               5              13
    1660               5              11
    1661               1               8
    1662               4              14
    1663               7              17
    1664               5              12
    1665               6              15
    1666               5              14
    1667               4              11
    1668               7              13
    1669               6              16
    1670               6              15
    1671               5              14
    1672               5              13
    1673               4              13
    1674               4              13
    1675               5              12
    1676               7              14
    1677               4              14
    1678               9              21
    1679               5              18
    1680               8              18
    1681               4              14
    1682               4              13
    1683               2               8
    1684               7              18
    1685               4               9
    1686               2               8
    1687               7              13
    1688               3              10
    1689               5              14
    1690               5              12
    1691               4              15
    1692               4              15
    1693               4              12
    1694               4              12
    1695               5              13
    1696               5              11
    1697               5              13
    1698               6              15
    1699               4              13
    1700               4              14
    1701               5              12
    1702               4              10
    1703               6              12
    1704               5              11
    1705               6              17
    1706               3              13
    1707               4              12
    1708               4              10
    1709               5              15
    1710               6              12
    1711               4              13
    1712               3               8
    1713               1               8
    1714               7              14
    1715               5              12
    1716               3              11
    1717               5              13
    1718               2               7
    1719               5              16
    1720               6              18
    1721               6              20
    1722               2               7
    1723               6              15
    1724               6              16
    1725               5               8
    1726               6              16
    1727               5              17
    1728               6              19
    1729               5              16
    1730               6              16
    1731               6              13
    1732               7              24
    1733               6              14
    1734               6              18
    1735               6              17
    1736               6              17
    1737               8              17
    1738               8              16
    1739               7              12
    1740               6              14
    1741               6              15
    1742               7              15
    1743               6              15
    1744               6              16
    1745               6              18
    1746               7              16
    1747               6              14
    1748               5              15
    1749               5              15
    1750               6              12
    1751               6              16
    1752               6              14
    1753               4              11
    1754               5              15
    1755               4              12
    1756               5              12
    1757               4              12
    1758               4               9
    1759               7              17
    1760               6              14
    1761               2               7
    1762               2              10
    1763               2              10
    1764               7              15
    1765               7              15
    1766               8              19
    1767               7              14
    1768               6              15
    1769               3              11
    1770               6              17
    1771               8              17
    1772               3               9
    1773               5              12
    1774               5              13
    1775               5              13
    1776               4               7
    1777               2               6
    1778               3              12
    1779               4              14
    1780               5              16
    1781               5              13
    1782               9              18
    1783               5              12
    1784               8              15
    1785               5              14
    1786               7              14
    1787               6              15
    1788               5              14
    1789               5              12
    1790               5              10
    1791               5              18
    1792               3               9
    1793               6              16
    1794               6              13
    1795               5              13
    1796               4              13
    1797               5              10
    1798               6              13
    1799               6              15
    1800               6              12
    1801               6              14
    1802               5              13
    1803               6              15
    1804               7              15
    1805               5              15
    1806               5              14
    1807               4              13
    1808               3              12
    1809               5              14
    1810               5              14
    1811               4              15
    1812               3              14
    1813               7              19
    1814               4              15
    1815               4              14
    1816               6              14
    1817               7              17
    1818               4              15
    1819               3              14
    1820               7              16
    1821               3              13
    1822               6              15
    1823               5              15
    1824               3              15
    1825               4              15
    1826               5              15
    1827               4              14
    1828               4              12
    1829               6              11
    1830               5              14
    1831               4              11
    1832               5              18
    1833               6              14
    1834               8              17
    1835               8              17
    1836               6              12
    1837               6              15
    1838               5              13
    1839               6              15
    1840               4              15
    1841               7              19
    1842               3              13
    1843               5              12
    1844               5              16
    1845               6              14
    1846               5              11
    1847               5              14
    1848               5              14
    1849               7              16
    1850               5              15
    1851               6              14
    1852               5              18
    1853               4              13
    1854               5              11
    1855               6              15
    1856               7              17
    1857               3              14
    1858               5              15
    1859               6              15
    1860               6              13
    1861               6              17
    1862               8              15
    1863               5              16
    1864               5              14
    1865               6              18
    1866               5              14
    1867               3              12
    1868               6              16
    1869               6              16
    1870               5              13
    1871               7              16
    1872               7              18
    1873               5              17
    1874               6              16
    1875               6              15
    1876               4              15
    1877               5              13
    1878               3              16
    1879               6              15
    1880               3              13
    1881               4              13
    1882               6              14
    1883               5              16
    1884               5              13
    1885               4              17
    1886               8              16
    1887               4              13
    1888               6              13
    1889               6              15
    1890               4              13
    1891               2              13
    1892               4              13
    1893               8              19
    1894               7              19
    1895               7              17
    1896               6              16
    1897               8              19
    1898               9              17
    1899               7              17
    1900               6              19
    1901               8              19
    1902               8              18
    1903               8              19
    1904               4              11
    1905               4              12
    1906               6              16
    1907               7              14
    1908               8              19
    1909               7              16
    1910               6              15
    1911               8              18
    1912               6              15
    1913               5              14
    1914               7              17
    1915               8              17
    1916               8              19
    1917               8              22
    1918               8              17
    1919               7              22
    1920               7              12
    1921               7              13
    1922               4              15
    1923               7              16
    1924               6              15
    1925               5              14
    1926               7              16
    1927               3              12
    1928               8              17
    1929               9              15
    1930               6              16
    1931               7              16
    1932               8              16
    1933               7              16
    1934               8              16
    1935               6              15
    1936               6              15
    1937               3               9
    1938               5              14
    1939               7              17
    1940               4              13
    1941               7              15
    1942               7              18
    1943               7              12
    1944               3              14
    1945               9              18
    1946               4               7
    1947               7              17
    1948               3              13
    1949               7              16
    1950               6              14
    1951               7              18
    1952               4              15
    1953               3              15
    1954               5              14
    1955               4              13
    1956               5              15
    1957               5              12
    1958               6              16
    1959               6              12
    1960               6              15
    1961               5              14
    1962               4              15
    1963               6              18
    1964               7              14
    1965               7              15
    1966               6              14
    1967               6              12
    1968               7              18
    1969               7              18
    1970               6              14
    1971               4               7
    1972               4              13
    1973               4              13
    1974               4              14
    1975               6              16
    1976               4              13
    1977               6              15
    1978               5              12
    1979               6              11
    1980               4              13
    1981               3              10
    1982               4              15
    1983               5              14
    1984               4              12
    1985               3              13
    1986               4              13
    1987               6              14
    1988               5              17
    1989               4              12
    1990               7              15
    1991               7              15
    1992               7              15
    1993               4              16
    1994               5              13
    1995               4              12
    1996               4               9
    1997               3              13
    1998               4              18
    1999               7              16
    2000               6              15
    2001               4              11
    2002               4              12
    2003               5              14
    2004               7              17
    2005               9              16
    2006               7              18
    2007               8              15
    2008               5              15
    2009               4              14
    2010               7              18
    2011               6              16
    2012               8              17
    2013               3              12
    2014               5              11
    2015               7              17
    2016               8              19
    2017               4               9
    2018               4              11
    2019               7              18
    2020               8              18
    2021               5              14
    2022               4              13
    2023               4              11
    2024               3              12
    2025               9              18
    2026               5              10
    2027               7              19
    2028               4              11
    2029               5              12
    2030               5              14
    2031               4              12
    2032               4              11
    2033               6              17
    2034               8              20
    2035               2               6
    2036               4              11
    2037               6              17
    2038               5              12
    2039               4              12
    2040               4              12
    2041               6              21
    2042               2               8
    2043               3              10
    2044               2               9
    2045               4              12
    2046               2              12
    2047               4              12
    2048               4              12
    2049               5              12
    2050               4              11
    2051               3              12
    2052              10              17
    2053               6              18
    2054               7              14
    2055               2               9
    2056               3              10
    2057               4              10
    2058               6              11
    2059               4              14
    2060               4              10
    2061               5              10
    2062               4              12
    2063               5              12
    2064               5              12
    2065               6              16
    2066               4              13
    2067               5              11
    2068               4              12
    2069               3              11
    2070               8              17
    2071               7              16
    2072               5              14
    2073               4              10
    2074               8              20
    2075               6              16
    2076               4              13
    2077               3              13
    2078               6              17
    2079               4              14
    2080               7              16
    2081               6              19
    2082               5              15
    2083               7              20
    2084               7              15
    2085               3              11
    2086               3              13
    2087               4              11
    2088               3              12
    2089               3              15
    2090               3              13
    2091               3              14
    2092               5              10
    2093               7              13
    2094               3              10
    2095               6              14
    2096               5              15
    2097               6              16
    2098               6              13
    2099               7              12
    2100               6              16
    2101               7              13
    2102               8              20
    2103               7              16
    2104               5              13
    2105               6              14
    2106               6              12
    2107               7              14
    2108               4              14
    2109               6              15
    2110               6              14
    2111               5              12
    2112               2              12
    2113               4              11
    2114               9              17
    2115               6              21
    2116               6              16
    2117               7              14
    2118               8              17
    2119               6              14
    2120               5              14
    2121               2               7
    2122               7              15
    2123               4              14
    2124               5              14
    2125               7              14
    2126               8              15
    2127               7              17
    2128               3               9
    2129               7              16
    2130               6              14
    2131               5              12
    2132               5              16
    2133               6              19
    2134               6              17
    2135               6              13
    2136               5              13
    2137               4              11
    2138               5              15
    2139               7              18
    2140               6              17
    2141               6              13
    2142               6              19
    2143               5              15
    2144               7              17
    2145               7              19
    2146               5              14
    2147               4              14
    2148               6              16
    2149               8              14
    2150               7              15
    2151               7              15
    2152               6              11
    2153               5              11
    2154               7              15
    2155               8              16
    2156               8              19
    2157               6              17
    2158               7              13
    2159               7              19
    2160               7              16
    2161               9              17
    2162               6              21
    2163               6              15
    2164               5              15
    2165              10              23
    2166               5              15
    2167               6              15
    2168               7              18
    2169               5              13
    2170               7              15
    2171               6              12
    2172               6              18
    2173               6              17
    2174               6              17
    2175               6              17
    2176               6              16
    2177               6              17
    2178               3              15
    2179               5              15
    2180               6              15
    2181               5              13
    2182               4              12
    2183               4              13
    2184               8              17
    2185               6              17
    2186               6              19
    2187               5              17
    2188               7              16
    2189               3              14
    2190               5              17
    2191               4              13
    2192               5              11
    2193               7              16
    2194               4              14
    2195               4              14
    2196               8              18
    2197               7              17
    2198               6              13
    2199               6              16
    2200               7              17
    2201               6              21
    2202               6              16
    2203               6              15
    2204               7              16
    2205               8              15
    2206               5              12
    2207               6              15
    2208               5              13
    2209               3              10
    2210               6              15
    2211               4              13
    2212               8              12
    2213               9              18
    2214               2              12
    2215               5              16
    2216               6              12
    2217               6              16
    2218              10              20
    2219               7              16
    2220               7              15
    2221               6              12
    2222               5              13
    2223               6              14
    2224               6              14
    2225               5              15
    2226               6              16
    2227               6              16
    2228               6              12
    2229               3               9
    2230               3              10
    2231               7              16
    2232               6              13
    2233               7              13
    2234               6              15
    2235               1              12
    2236               6              13
    2237               6              13
    2238               6              17
    2239               7              15
    2240               6              13
    2241               4              14
    2242               4              15
    2243               4              14
    2244               4              13
    2245               5              13
    2246               5              11
    2247               4              11
    2248               4               9
    2249               2              17
    2250               3              14
    2251               3              12
    2252               3              15
    2253               3              11
    2254               5              15
    2255               6              13
    2256               6              14
    2257               4               8
    2258               7              17
    2259               7              13
    2260               5              13
    2261               6              18
    2262               8              19
    2263               7              16
    2264               6              16
    2265               6              14
    2266               8              17
    2267               6              11
    2268               7              16
    2269               5              15
    2270               7              16
    2271               4              14
    2272               6              11
    2273               4              16
    2274               5              16
    2275               5              16
    2276               6              16
    2277               6              17
    2278               6              17
    2279               6              16
    2280               5              14
    2281               4              12
    2282               6              15
    2283               5              13
    2284               3               9
    2285               4              14
    2286               4              14
    2287               5              12
    2288               7              14
    2289               5              14
    2290               4              15
    2291               8              19
    2292               4              13
    2293               6              12
    2294               4              13
    2295               5              14
    2296               7              12
    2297               6              15
    2298               5              13
    2299               6              11
    2300               7              15
    2301               5              13
    2302               6              13
    2303               4              12
    2304               5              12
    2305               7              17
    2306               7              18
    2307               6              15
    2308               3              13
    2309               6              15
    2310               4              13
    2311               7              19
    2312               6              17
    2313               7              17
    2314               4              14
    2315               6              15
    2316               6              15
    2317               4              11
    2318               5              14
    2319               6              17
    2320               6              13
    2321               6              13
    2322               4              12
    2323               7              14
    2324               4              12
    2325               4              10
    2326               6              12
    2327               5              13
    2328               2              11
    2329               5              11
    2330               5              13
    2331               5              12
    2332               5              13
    2333               5              12
    2334               5              15
    2335               5               8
    2336               5              10
    2337               4              12
    2338               4              15
    2339               2              13
    2340               7              18
    2341               2              13
    2342               6              12
    2343               6              10
    2344               6              11
    2345               6              11
    2346               3              11
    2347               5              15
    2348               5              10
    2349               7              10
    2350               5              10
    2351               6              13
    2352               6              14
    2353               5              12
    2354               5              15
    2355               6              14
    2356               6              13
    2357               6              14
    2358               1               9
    2359               5              11
    2360               5              12
    2361               6              13
    2362               4              11
    2363               4              12
    2364               5              15
    2365               5              12
    2366               3              11
    2367               3              13
    2368               4              12
    2369               6              15
    2370               5              10
    2371               6              11
    2372               5              13
    2373               5              12
    2374               6              22
    2375               4              12
    2376               6              10
    2377               4              12
    2378               2              11
    2379               5               9
    2380               6              11
    2381               6              12
    2382               4              11
    2383               2               9
    2384               6              11
    2385               5              11
    2386               6              18
    2387               7              18
    2388               4              10
    2389               3               8
    2390               6              11
    2391               3              11
    2392               3              12
    2393               4              11
    2394               5              11
    2395               5              11
    2396               4              13
    2397               4               8
    2398               4              14
    2399               2              13
    2400               7              16
    2401               5              12
    2402               7              17
    2403               3              12
    2404               4              12
    2405               4              11
    2406               3              12
    2407               4              11
    2408               9              17
    2409               7              15
    2410               6              13
    2411               6              13
    2412               4               9
    2413               7              19
    2414               6              17
    2415               4              11
    2416               7              16
    2417               3              12
    2418               4              11
    2419               4              10
    2420               6              17
    2421               7              16
    2422               6              15
    2423               6              14
    2424               5              14
    2425               5              14
    2426               4              12
    2427               6              16
    2428               6              15
    2429               8              20
    2430               7              18
    2431               5              13
    2432               7              18
    2433               6              15
    2434               7              14
    2435               6              15
    2436               5              14
    2437               6              17
    2438               6              15
    2439               7              17
    2440               4               9
    2441               6              15
    2442               5              10
    2443               3               9
    2444               2              11
    2445               5               9
    2446               4              13
    2447               4              12
    2448               4              13
    2449               7              20
    2450               5              14
    2451               6              13
    2452               7              17
    2453               6              12
    2454               3              13
    2455               6              14
    2456               4              16
    2457               5              14
    2458               5              10
    2459               5              15
    2460               6              14
    2461               5              13
    2462               4               8
    2463               5              12
    2464               5              14
    2465               6              12
    2466               4              13
    2467               4              12
    2468               3              13
    2469               4              13
    2470               6              14
    2471               4              18
    2472               7              18
    2473               6              13
    2474               5              14
    2475               6              14
    2476               9              17
    2477               5              12
    2478               5              15
    2479               6              14
    2480               5              11
    2481               5              14
    2482               4              12
    2483               5              14
    2484               8              17
    2485               6              12
    2486               5              13
    2487               5              14
    2488               6              14
    2489               8              19
    2490               7              17
    2491               6              18
    2492               3              13
    2493               6              17
    2494               6              17
    2495               8              15
    2496               7              18
    2497               9              19
    2498               8              15
    2499               6              16
    2500               5              17
    2501               6              12
    2502               6              14
    2503               7              12
    2504               7              16
    2505               7              15
    2506               5              14
    2507               7              15
    2508               7              20
    2509               7              15
    2510               5              11
    2511               8              17
    2512               4              11
    2513               6              10
    2514               8              18
    2515               8              19
    2516               7              15
    2517               8              16
    2518               6              14
    2519               5              14
    2520               8              17
    2521               7              14
    2522               6              14
    2523               6              14
    2524               4              13
    2525               4              13
    2526               5              12
    2527               5              10
    2528               3              10
    2529               4              12
    2530               6              15
    2531               6              16
    2532               3              11
    2533               2               6
    2534               6              13
    2535               3              13
    2536               5              13
    2537               5              16
    2538               4              11
    2539               7              15
    2540               6              14
    2541               5              12
    2542               7              15
    2543               5              14
    2544               6              15
    2545               7              11
    2546               5              11
    2547               6              15
    2548               5              13
    2549               7              15
    2550               3              12
    2551               4              14
    2552               5              13
    2553               5              11
    2554               6              13
    2555               4               9
    2556               5              13
    2557               5              15
    2558               3              11
    2559               4              11
    2560               5              13
    2561               6              15
    2562               2               9
    2563               6              16
    2564               3              13
    2565               4              14
    2566               6              16
    2567               5              16
    2568               6              14
    2569               5              14
    2570               5              10
    2571               3              14
    2572               5              15
    2573               6              14
    2574               6              15
    2575               4              15
    2576               7              13
    2577               3              11
    2578               6              14
    2579               5              12
    2580               6              14
    2581               6              13
    2582               2              12
    2583               4               9
    2584               5              11
    2585               3              11
    2586               3              11
    2587               5              12
    2588               4              14
    2589               5              11
    2590               5              12
    2591               5              14
    2592               7              16
    2593               6              13
    2594               7              17
    2595               6              15
    2596               6              14
    2597               7              15
    2598               7              16
    2599               6              13
    2600               4              11
    2601               5              13
    2602               1              10
    2603               7              16
    2604               5              15
    2605               7              18
    2606               6              15
    2607               7              13
    2608               3              14
    2609               5              13
    2610               3              10
    2611               6              12
    2612               3              14
    2613               5              10
    2614               3              15
    2615               3              12
    2616               4              15
    2617               5              16
    2618               5              15
    2619               3              14
    2620               7              16
    2621               3              13
    2622               4              11
    2623               4              14
    2624               5              14
    2625               7              14
    2626               3              12
    2627               4              14
    2628               5              16
    2629               6              12
    2630               4              11
    2631               7              12
    2632               4              13
    2633               5              13
    2634               4              14
    2635               5              14
    2636               7              13
    2637               8              19
    2638               7              16
    2639               4              13
    2640               4              17
    2641               5              13
    2642               5              13
    2643               4              13
    2644               5              11
    2645               6              16
    2646               5              17
    2647               7              19
    2648               5              15
    2649               6              11
    2650               4              15
    2651               3              15
