#Frame   WS_00005[lower] WS_00005[upper]
     454               4              14
     455               4              12
     456               5              12
     457               5              16
     458               5              15
     459               5              13
     460               5              14
     461               5              15
     462               4              12
     463               3              12
     464               4              14
     465               4              15
     466               5              13
     467               5              13
     468               4              11
     469               6              16
     470               4              13
     471               6              16
     472               4              13
     473               4              12
     474               6              15
     475               4              13
     476               5              13
     477               5              11
     478               4              12
     479               7              21
     480               7              18
     481               5              12
     482               5              11
     483               4              14
     484               4              12
     485               5              12
     486               4              12
     487               3              11
     488               5              14
     489               5              11
     490               5              13
     491               7              17
     492               6              16
     493               5              13
     494               4              15
     495               7              17
     496               8              15
     497               5              14
     498               6              18
     499               6              16
     500               7              15
     501               6              17
     502               6              14
     503               7              15
     504               3              14
     505               6              20
     506               7              20
     507               7              20
     508               4              13
     509               7              19
     510               8              17
     511               8              16
     512               6              17
     513               6              17
     514               6              18
     515               8              20
     516               6              18
     517               6              17
     518               7              20
     519               5              16
     520               9              18
     521               5              15
     522               6              16
     523               8              18
     524               6              12
     525               6              18
     526               3              16
     527               4              15
     528               6              18
     529               7              16
     530               7              17
     531               7              16
     532               6              21
     533               8              20
     534               6              19
     535               7              16
     536               6              19
     537               7              18
     538               7              14
     539               7              17
     540               6              18
     541               7              18
     542               7              13
     543               6              15
     544               3              16
     545               8              18
     546               8              18
     547               4              15
     548               4              14
     549               7              20
     550               5              12
     551               3              13
     552               5              14
     553               7              18
     554               7              21
     555               8              18
     556               6              17
     557               8              17
     558               7              16
     559               7              17
     560               7              16
     561               8              17
     562               6              17
     563               5              11
     564               3              15
     565               3              12
     566               4              13
     567               4              10
     568               4              13
     569               6              19
     570               6              17
     571               6              16
     572               7              16
     573               6              17
     574               9              17
     575               6              17
     576               6              16
     577               7              20
     578               8              18
     579               6              14
     580               7              19
     581               6              17
     582               5              15
     583               4              12
     584               6              15
     585               7              14
     586               7              16
     587               7              18
     588               8              21
     589               7              22
     590               7              20
     591               6              18
     592               8              18
     593               6              18
     594               8              19
     595               8              17
     596               6              19
     597               4              14
     598               6              12
     599               5              15
     600               6              16
     601               6              13
     602               7              14
     603               6              13
     604               6              14
     605               5              11
     606               5              12
     607               6              17
     608               7              18
     609               7              20
     610               7              17
     611               6              17
     612               7              20
     613               5              14
     614               7              16
     615               6              17
     616               8              20
     617               6              19
     618               8              16
     619               8              17
     620               7              15
     621               5              15
     622               9              19
     623               7              18
     624               6              15
     625              10              19
     626               9              22
     627               7              19
     628               8              18
     629               9              16
     630               7              13
     631               7              18
     632               8              16
     633               8              15
     634               6              17
     635               5              14
     636               8              19
     637               7              17
     638               5              14
     639               6              13
     640               7              17
     641               7              19
     642               7              17
     643              10              23
     644               8              19
     645               5              11
     646               6              13
     647               2              12
     648               8              16
     649               8              16
     650               6              15
     651               8              18
     652               5              15
     653               5              19
     654               4              11
     655               5              14
     656               6              14
     657               7              15
     658               6              15
     659               6              18
     660               6              17
     661               6              15
     662               6              18
     663               6              18
     664               9              19
     665               9              19
     666               8              16
     667               7              22
     668               6              19
     669               7              18
     670               6              17
     671               7              17
     672               7              18
     673               7              17
     674               7              18
     675               8              20
     676               8              20
     677               8              19
     678               6              14
     679               6              14
     680               5              16
     681               5              16
     682               5              13
     683               5              14
     684               3              12
     685               6              16
     686               2               9
     687               4              14
     688               5              11
     689               4              12
     690               4              15
     691               6              14
     692               6              16
     693               7              15
     694               7              18
     695               6              20
     696               7              21
     697               7              16
     698               7              15
     699               9              19
     700               6              18
     701               8              20
     702               6              17
     703               4              15
     704               6              14
     705               7              17
     706               8              15
     707               7              17
     708               7              16
     709               7              21
     710               7              19
     711               7              18
     712               7              18
     713               7              18
     714               6              13
     715               9              17
     716               7              18
     717               7              18
     718               7              18
     719               5              16
     720               3              12
     721               5              15
     722               7              15
     723               3              12
     724               3              14
     725               4              16
     726               3              13
     727               3              13
     728               3              13
     729               5              15
     730               3              13
     731               4              15
     732               5              16
     733               5              15
     734               3              10
     735               6              15
     736               4              13
     737               6              15
     738               7              19
     739               5              13
     740               4              15
     741               3              11
     742               6              15
     743               5              14
     744               5              16
     745               6              11
     746               6              15
     747               7              16
     748               6              16
     749               6              15
     750               6              13
     751               6              14
     752               8              12
     753               7              17
     754               5              15
     755               5              13
     756               3              10
     757               5              13
     758               7              17
     759               4              14
     760               7              16
     761               4              15
     762               7              15
     763               6              18
     764               7              18
     765               8              21
     766               5              14
     767               8              21
     768               8              22
     769               9              21
     770               7              20
     771               4              11
     772               5              17
     773               5              18
     774               7              20
     775               7              20
     776               8              17
     777               9              19
     778               6              18
     779               7              18
     780               7              16
     781               6              17
     782               5              16
     783               5              15
     784               6              16
     785               7              14
     786               5              15
     787               5              11
     788               5              14
     789               5              13
     790               6              19
     791               8              18
     792               7              15
     793               4              13
     794               8              17
