#Frame           COM3       ANGLE3
       1       4.6435     152.3535
       2       4.1082     167.2877
       3       4.4073     148.3428
       4       4.1031       1.4663
       5       4.0935     162.1006
       6       3.9349     139.7136
       7       4.7012      21.0374
       8       4.1752      22.5147
       9       4.6591     148.2580
      10       4.2509     151.2880
      11       4.5367     164.5914
      12       4.1819     158.0139
      13       4.3169       8.6884
      14       4.4237      22.3491
      15       4.7661     151.4019
      16       4.0958     162.3075
      17       4.1669     169.9291
      18       4.2196      10.3270
      19       4.1918     151.3158
      20       4.7302     150.6299
      21       4.2609     152.3923
      22       4.9236      24.0942
      23       4.4082     146.3568
      24       3.9192     163.3388
      25       3.8332     156.4534
      26       4.6337     153.9027
      27       4.5165     138.3767
      28       4.3402     159.6030
      29       4.3521     162.9976
      30       4.5536       9.0638
      31       4.3801     156.3023
      32       3.8290     156.5293
      33       4.4180      15.6514
      34       3.7738     165.4203
      35       4.5213     148.7064
      36       3.8514     155.2736
      37       4.2143     150.4426
      38       4.2677      17.1891
      39       4.4426     141.8134
      40       4.3730     164.3609
      41       4.1136     151.2326
      42       4.4219     153.8711
      43       4.3197     146.1064
      44       4.0067     156.8603
      45       4.0454     144.4725
      46       4.1537     163.8646
      47       4.4004     169.6028
      48       3.9968     157.8632
      49       4.5013     152.5010
      50       3.9803     158.2745
      51       4.2562     144.8748
      52       4.6140     143.5651
      53       4.3855     155.0347
      54       3.8076     167.6967
      55       4.3554     135.8713
      56       3.9280     154.0872
      57       4.2586     147.6947
      58       4.0916     157.8639
      59       4.1253     150.9367
      60       4.0119     154.8223
      61       4.3480     154.9357
      62       4.3658     141.2366
      63       4.3182     154.1560
      64       3.8603     158.5361
      65       3.9837      17.1519
      66       4.1736     151.6422
      67       3.9822     165.3385
      68       4.4270     152.3458
      69       4.5213     160.9727
      70       4.3393     152.1029
      71       4.2396     163.3366
      72       4.0963     164.6643
      73       4.4702     151.2882
      74       4.2064     159.3489
      75       4.7130     149.4991
      76       4.6037     149.7028
      77       4.1672     147.7748
      78       4.3514     161.5161
      79       4.0616     168.1133
      80       4.5426     149.6025
      81       3.8713       4.8866
      82       3.9876     164.5492
      83       4.0473     147.9336
      84       3.9935     164.5490
      85       4.4186     147.2660
      86       4.4038     174.2172
      87       4.0295     156.7789
      88       4.3463      14.9727
      89       4.1802     165.4262
      90       3.9258     162.9104
      91       4.2057     155.5874
      92       3.7694     149.1140
      93       3.8435     164.1951
      94       4.0251     163.3104
      95       4.4159     159.9922
      96       3.9343     157.7317
      97       4.0607      18.3359
      98       3.6000     165.1055
      99       4.0289     154.7208
     100       3.9349     163.4117
     101       4.0407     160.9530
     102       4.0392     159.8873
     103       3.6332     175.4411
     104       4.2084     152.2283
     105       4.4001     157.6403
     106       4.3946     153.3517
     107       4.2518     162.6416
     108       4.0927     156.9794
     109       4.4050     153.5199
     110       4.3523     143.2226
     111       4.1232     159.3942
     112       3.8934     162.3712
     113       3.9607     170.0489
     114       4.1044       2.7833
     115       3.6821       9.6293
     116       4.4232     159.2839
     117       4.4568     158.4934
     118       4.4341     163.1609
     119       4.3413      15.6057
     120       3.8706     153.0454
     121       4.3468     164.5261
     122       3.9229     145.2855
     123       4.4385     151.0195
     124       4.5218     138.0088
     125       4.1778     148.5922
     126       3.8442     167.7255
     127       4.2591     155.6938
     128       3.9523     154.9808
     129       3.6749     163.0123
     130       4.0762     154.7708
     131       4.1563     170.3642
     132       4.0843     151.8191
     133       3.7380     167.4163
     134       4.1349     159.2542
     135       4.5558     157.4982
     136       3.9179     150.9334
     137       4.1352     158.3406
     138       4.1430     142.4348
     139       4.4973     149.3068
     140       4.4773     154.9041
     141       3.9466       8.6448
     142       4.3609     149.2343
     143       4.6185      14.1365
     144       4.2828     151.1107
     145       4.2395      15.3231
     146       4.4706      20.8993
     147       4.5642     165.5555
     148       4.4579       8.6760
     149       4.2967     137.4566
     150       4.1535      19.0571
     151       3.7373      32.5600
     152       3.9130     158.3943
     153       4.7236     148.1769
     154       4.4047     153.0606
     155       4.1463     154.9883
     156       3.9339     153.1235
     157       4.2883      12.0309
     158       4.3777      20.2914
     159       4.1109     153.3186
     160       4.2244       6.2919
     161       4.6734     160.8656
     162       4.0936     154.5473
     163       3.9658     148.5201
     164       3.9969     160.5777
     165       4.0973     164.4713
