#Frame           COM4       ANGLE4
       1       4.1347      12.7899
       2       4.0721      10.3975
       3       3.8247       1.1482
       4       3.9971      15.1527
       5       4.0096      14.2252
       6       4.1177      13.6579
       7       4.2512       5.5628
       8       4.0529      10.8167
       9       3.8313       8.8416
      10       3.6925      13.3689
      11       3.5671      16.9402
      12       3.9277      11.3943
      13       4.0352      19.5158
      14       4.0846       6.9909
      15       3.8735      11.3947
      16       4.3799       6.8074
      17       3.9816      31.2229
      18       4.0878       9.0276
      19       4.4382       8.0072
      20       3.9961      10.4263
      21       4.2090      22.8664
      22       3.7888      11.2058
      23       3.8590       3.5274
      24       3.9994      17.7537
      25       4.4367      22.3237
      26       4.1369      14.8457
      27       4.0409       9.8944
      28       3.7104      18.5439
      29       3.5373       4.6411
      30       4.0085       6.6951
      31       3.9697       2.4013
      32       3.7153      17.1386
      33       4.0121       7.4726
      34       3.8065      27.4253
      35       3.9253       6.6995
      36       4.3463      17.1267
      37       4.0703      12.3135
      38       3.8481      11.9500
      39       3.8848      16.7369
      40       4.0256      18.4206
      41       4.0339      12.8904
      42       3.9949      20.4390
      43       3.5096       4.6009
      44       4.3225      10.8240
      45       3.9945       9.2348
      46       3.8518      12.4328
      47       3.8928       0.5357
      48       3.7241      12.4484
      49       4.0853      14.6066
      50       4.1779      13.3243
      51       3.9681       6.6704
      52       3.8819      10.3001
      53       3.7203      10.7559
      54       3.8759       6.9361
      55       3.7342       7.1362
      56       3.8820      16.5735
      57       3.9847       6.0175
      58       4.0404      10.5063
      59       3.8359      10.2429
      60       4.0190      11.7600
      61       3.8866      11.5830
      62       3.7084      11.7875
      63       3.8129       4.9311
      64       4.0196       7.1448
      65       4.0597      17.6047
      66       3.9582       0.9379
      67       4.1154       5.0824
      68       4.2837       9.3508
      69       4.1452      11.0251
      70       4.6399       9.6938
      71       4.2230      14.7258
      72       4.3582      12.9017
      73       4.6664       5.7871
      74       4.3279       7.9447
      75       3.7764      12.3105
      76       3.9471      12.6722
      77       4.0112      16.3843
      78       3.6647      21.3457
      79       4.2257      11.8974
      80       4.3050      15.1308
      81       4.0041       5.0001
      82       4.2750      16.2590
      83       3.7852       9.8230
      84       3.8523      13.2998
      85       3.7505      25.5154
      86       3.8946      17.1508
      87       4.1119      17.3749
      88       4.4732      13.3180
      89       4.3709       3.2448
      90       3.9629      19.4622
      91       3.6976      11.8074
      92       3.7450      14.3033
      93       4.1775      13.0471
      94       3.8066      16.0108
      95       3.9819       5.6895
