#Frame           COM2       ANGLE2
       1       4.0237       7.9339
       2       4.1177     155.8733
       3       4.2250     164.4792
       4       3.8055       7.5555
       5       3.9427     172.9377
       6       4.1126       4.1578
       7       4.1400       4.1784
       8       3.7269     164.0471
       9       3.9822     168.6754
      10       3.8338     167.0141
      11       4.0963     161.4086
      12       3.8789      10.7679
      13       3.9913      13.7466
      14       3.8565      15.0346
      15       4.4444       7.2654
      16       3.9949     165.0957
      17       4.1672     156.3827
      18       4.0731       4.1622
      19       3.8856     164.4624
      20       3.6931     154.4272
      21       4.2368     156.3151
      22       4.3676     162.0001
      23       4.2137     153.2690
      24       3.8639     167.4718
      25       4.1830     156.4088
      26       4.1564     165.6962
      27       3.9489      11.1851
      28       3.7418     164.3565
      29       4.2369     169.3903
      30       4.0150      11.8084
      31       3.9615     164.2267
      32       4.3484       7.4576
      33       4.0907      16.6413
      34       4.2555       1.6106
      35       3.9656     158.3913
      36       4.3264       5.9044
      37       3.8333     163.5466
      38       3.8448       5.6197
      39       3.7014      13.9912
      40       4.1237     167.0895
      41       4.3047      11.5288
      42       4.2172      11.7844
      43       3.9740      17.7435
      44       3.7403     161.7329
      45       4.1616       2.1969
      46       3.9647      18.2784
      47       4.3671     171.2278
      48       4.0239      11.4546
      49       4.1334      12.9768
      50       4.6783     168.7656
      51       4.2813      17.3882
      52       4.0962      20.2933
      53       4.5396     150.5608
      54       4.0013       9.1284
      55       3.5675     170.5511
      56       4.2605     170.0441
      57       4.0243     172.1989
      58       4.5409      13.4523
      59       4.1331      11.9197
      60       4.0353       8.9742
      61       3.9643       9.1042
      62       4.1681       7.0512
      63       4.0258     168.0972
      64       4.2661     162.7334
      65       4.0250      11.1266
      66       3.9456     167.2608
      67       4.0468     157.8439
      68       4.7024     140.6468
      69       4.6620      25.7068
      70       4.3331     154.2644
      71       4.0479       9.1274
      72       3.7524     157.3660
      73       4.4315      16.3366
      74       4.4479     170.3728
      75       3.8441     165.9063
      76       4.3171       7.1679
      77       4.0201     164.9372
      78       3.9635     165.8122
      79       3.8783      14.8072
      80       4.3677     165.4826
      81       3.8301       8.3401
      82       4.2342     164.5067
      83       3.7590     160.1665
      84       4.0006     160.3658
      85       4.1173     156.6305
      86       4.1843     158.7545
      87       3.9908       3.3051
      88       4.1243     161.6870
      89       4.2222     162.8986
      90       4.1557       9.7008
      91       4.0071      22.1772
      92       3.9189     155.9645
      93       3.7450     161.1516
      94       4.0359     172.8766
      95       4.3421     172.0519
      96       3.4997       7.1814
      97       4.4558     164.6509
      98       3.9922      15.4937
      99       3.8004     160.2952
     100       4.0939     162.1689
     101       3.8710     162.4319
     102       4.0297     171.3912
     103       3.7957     164.0172
     104       3.9952     172.6866
     105       4.0813     159.7062
     106       4.0289       4.0322
     107       4.0601     161.4125
     108       3.9469     167.0086
     109       3.9944       7.3242
     110       4.0531       4.7162
     111       4.3027      10.0543
     112       3.7214      10.1036
     113       3.7817       6.5303
     114       3.9324     173.9615
     115       4.5683     158.7131
     116       3.7907     171.3918
     117       3.8002     161.9678
     118       3.9133     165.6294
     119       4.0471      14.4737
     120       4.0374     160.2404
     121       3.8444     159.6270
     122       3.9619       1.2105
     123       4.0466     166.2002
     124       4.2311       4.6580
     125       3.8653     166.1165
     126       4.1570      21.8265
     127       4.4067      12.1003
     128       4.1993       1.1054
     129       3.8193       9.0904
     130       3.9211      10.8063
     131       4.1376     169.4058
     132       4.3335       3.9062
     133       3.6237     167.2779
     134       3.9990     156.6887
     135       4.0104      13.1249
     136       4.0315      13.0758
     137       4.3421      12.9292
     138       4.2316     167.9211
     139       3.7844     163.1163
     140       3.9720     162.2111
     141       4.0256     168.7795
     142       3.8764       9.0953
     143       4.4349      12.1138
     144       3.9133       5.5674
     145       4.4055      16.2174
     146       4.2362       3.8264
     147       4.9023       4.5949
     148       4.1604       9.8613
     149       4.3919     169.2963
     150       4.5084     162.0005
     151       3.8093       4.8599
     152       3.7197     161.3052
     153       3.8176     163.1674
     154       3.8709     169.6995
     155       3.6491       9.8708
     156       3.8977     163.9282
     157       4.2928       6.0534
     158       3.5875     165.6026
     159       4.1050      12.6561
     160       3.7645      14.4242
