#Frame           COM1       ANGLE1
     245       4.0882      10.1142
     246       4.5987       4.1113
     247       4.5678      59.2098
     248       4.1366      11.9143
     249       4.3416      50.7886
     250       3.6570      12.3963
     251       3.6293       2.5057
     252       4.1259       8.8703
     253       4.0060      10.6399
     254       3.9987      22.6058
     255       3.5094       2.7917
     256       4.0058      24.4971
     257       4.1179      19.3785
     258       3.7238      24.5900
     259       4.0298      32.5557
     260       3.6257      19.3393
     261       3.7031      22.6549
     262       4.5935      23.1694
     263       3.8143      15.2132
     264       3.7252      13.0720
     265       3.8450      13.6083
     266       4.7813      16.3546
     267       4.3081      23.8404
     268       4.3839      10.8731
     269       3.9327      18.4698
     270       4.5749      21.9924
     271       4.6017      13.6064
     272       3.4195       5.1114
     273       3.6917       2.1747
     274       3.6712      11.0832
     275       3.9441      18.2731
     276       3.9304      20.0135
     277       4.0561      15.9767
     278       3.8523       8.4513
     279       3.8819       6.0157
     280       3.9083      20.2838
     281       4.1811      22.3362
     282       4.1035      10.7166
     283       3.5573      12.2158
     284       3.7815      19.9421
     285       3.7458      23.4366
     286       4.5624       5.5736
     287       3.7683      24.0561
     288       4.1754      17.3168
     289       3.7395      22.1977
     290       3.6643      18.8079
     291       3.8442      12.6743
     292       3.9292      34.0264
     293       3.9765      12.6705
     294       4.0236      22.6604
     295       4.3055       0.7800
     296       3.8011      13.3100
     297       3.7809      24.8495
     298       3.9865      18.4503
     299       3.7304      17.4526
     300       3.8467      21.0684
     301       3.9559      30.1774
     302       3.9556      17.2617
     303       3.7181      17.5720
     304       3.6729      12.1171
     305       4.2249      26.9568
     306       3.3935      15.0607
     307       4.1152       3.7570
     308       3.7600       9.0490
     309       3.9652       2.2709
     310       3.4028       7.6221
     311       3.6156      28.0175
     312       4.3487      12.9148
     313       4.2281      23.9093
     314       4.2014      21.9615
     315       4.3390      39.1001
     316       4.0430      20.6125
     317       3.6419      16.2481
     318       3.8818      18.3059
     319       3.8520       4.3511
     320       4.2548      13.6604
     321       3.9231      17.6345
     322       4.0500      15.1929
     323       4.0693      13.2735
     324       3.6887      18.8517
     325       3.6661      13.4783
     326       3.6686      11.4043
     327       4.3193      18.1318
     328       4.0358      16.9746
     329       4.0562       7.1581
     330       4.1518      26.0899
     331       3.9077      12.1234
     332       3.9230       5.9610
     333       4.1209      15.9965
     334       4.0956       9.3636
     335       4.4466      17.8216
     336       4.2351      12.9364
     337       4.0967       9.3398
     338       3.9427      16.6574
     339       4.3370      16.3353
     340       4.3153       6.2191
     341       4.3626       9.3632
     342       4.4309       5.8560
     343       3.8688      20.4724
     344       3.9171      16.6804
     345       3.8308       3.9571
     346       3.7967      12.6929
     347       3.9450      19.3873
     348       4.0007       8.3662
     349       3.7875       8.3410
     350       3.7752       7.6228
     351       4.2148      19.3582
     352       4.4773      16.7022
     353       4.1895      22.6890
     354       4.2439      24.6956
     355       4.4924      15.2685
     356       4.0590      17.2607
     357       4.0606      11.0727
     358       4.0660      17.6548
     359       4.2204       9.5596
     360       3.9657      13.8476
     361       3.5786      14.2377
     362       4.1702      31.9030
     363       4.1897      28.2857
     364       3.7177       3.1775
     365       4.2060       5.3463
     366       3.7548      19.4987
     367       4.0216      14.6608
     368       4.3853      15.8199
     369       4.1161      11.3998
     370       3.8879      12.6491
     371       3.8999       6.7057
     372       4.3677      20.6934
     373       3.8395      19.6645
     374       3.7025      10.5278
     375       4.4112      34.2670
     376       3.6135       7.4253
     377       3.4152       7.2434
     378       4.0270      20.9615
     379       4.0432      20.4803
     380       4.5109      35.5472
     381       4.3640      21.1596
     382       4.0506       5.8555
     383       3.9904      11.2397
     384       3.5921      19.7243
     385       3.7111      24.8919
     386       4.0384      17.1980
     387       4.0545       3.5678
     388       3.9125      13.2026
     389       3.6783      11.6151
     390       4.0266      14.6272
     391       4.2809      24.2063
     392       4.6005       7.2876
     393       3.7212       6.6926
     394       3.7402      19.1242
     395       3.8551      11.6699
     396       4.2114      20.1971
     397       3.9745      21.5447
     398       3.9820       6.9963
     399       4.1011       6.7491
     400       4.3968      12.8105
     401       3.7518       3.1660
     402       4.3321      23.1355
     403       4.1585      24.3256
     404       4.5830      15.8530
     405       4.1836       6.3284
     406       3.8638      17.4538
     407       3.9103      12.9127
     408       4.0679      29.4407
     409       4.2505      20.3129
     410       4.0826      10.2581
     411       4.3145      20.4288
     412       4.1609      26.2400
     413       4.1851       6.1856
     414       3.8979      20.4959
     415       4.3097      15.9019
     416       4.4173      16.9395
     417       3.8579      10.0006
     418       4.1823      17.1666
     419       4.4993       9.9390
     420       4.4051      12.7495
     421       3.5955      11.9465
     422       4.4223       4.8028
     423       4.2940      13.6256
     424       4.3817       4.3585
     425       3.8163      20.3976
     426       3.8614      16.4588
     427       3.5622      11.1326
     428       3.7720      21.5508
     429       3.5560       9.0828
     430       3.9101      10.7758
     431       3.6668      19.1980
     432       4.0944      30.6146
     433       4.0305      21.3483
     434       3.7469      19.1773
     435       4.1637      15.7898
     436       4.0454      23.2107
     437       3.8508       3.9037
     438       3.5723      15.4817
     439       3.8985      24.5271
     440       3.6862      26.3122
     441       3.6946      12.8649
     442       4.4937      19.6544
     443       3.7418      17.4302
     444       3.8952      32.9959
     445       3.8044      14.9529
     446       3.9689      18.4802
     447       3.8689      20.9219
     448       4.1590      16.2434
     449       3.9122      18.2071
     450       3.7180       1.9973
     451       3.8289      23.7034
     452       4.3570      17.5578
     453       4.3135      34.3285
     454       4.1119      30.0407
     455       3.9264      10.0741
     456       3.9691       7.8769
     457       3.7668      14.0412
     458       3.7559      23.7268
     459       3.9106      16.9305
     460       4.2674      26.5620
     461       3.8200      31.0873
     462       3.9112      12.6669
     463       4.0118      10.6895
     464       4.0584      21.8370
     465       4.4635      30.6974
     466       3.9970      18.3434
     467       4.1724      24.1734
     468       4.2906      14.7759
     469       4.0334      24.7528
     470       3.7720      21.5583
     471       3.8502      17.4273
     472       3.6530      24.2936
     473       3.8996      26.9274
     474       3.7766      17.2017
     475       3.6101      21.9375
     476       4.0807      29.8107
     477       3.8362      22.7507
     478       3.8553      26.2720
     479       4.1301      22.9555
     480       4.0486      20.6227
     481       3.6910      17.0513
     482       3.9993      31.3022
     483       3.9379      33.5226
     484       3.9310      32.0031
     485       4.1921      39.0287
     486       3.7522      15.9966
     487       4.4399      48.5276
     488       4.5536      19.6214
     489       3.9413      22.6790
     490       3.4085       9.8059
     491       3.6619      12.7097
     492       3.7352       6.4238
     493       4.6416      19.4876
     494       3.7698       7.9390
     495       3.6890       2.7243
     496       3.6008      20.0449
     497       3.7999      37.9463
     498       3.7327      25.6687
     499       4.1298      25.5493
     500       4.4907      24.0099
     501       4.4982      15.1570
     502       4.2337      38.8121
     503       4.1780      31.4018
     504       3.9959      15.9930
     505       4.4892       3.0275
     506       4.4765      30.0173
     507       4.2682      25.5646
     508       3.9361      34.3893
     509       4.0560      15.1347
     510       4.0657       2.8370
     511       4.3992       6.2363
     512       3.8484      18.8096
     513       3.7739      12.7349
     514       4.3782      16.9188
     515       4.3473      14.5354
     516       4.1402      16.5927
     517       4.4802      17.6735
     518       4.5512      14.6940
     519       4.4217      16.8828
     520       4.7620       5.4101
     521       4.2998      28.1868
     522       4.0292      27.6870
     523       4.4709      38.2820
     524       3.8748      16.0969
     525       4.1965      21.1854
     526       4.0330      19.2490
     527       3.8761       6.8950
     528       4.3787      15.2095
     529       4.2433       7.5638
     530       4.1929      11.9207
     531       4.2141      19.6547
     532       4.6143      11.9515
     533       4.4798      18.1315
     534       4.5239      10.6100
     535       4.0944      15.3287
     536       4.6256       1.3802
     537       3.7586      17.4517
     538       3.8103      16.8075
     539       3.8512       2.6952
     540       3.8689      10.1114
     541       3.9683      27.7345
     542       4.0732      21.0448
     543       3.7945      12.9270
     544       3.8384      14.0264
     545       3.8680      14.8207
     546       4.1029      16.2972
     547       3.9833      22.8777
     548       3.6596      11.9365
     549       4.0537      16.4739
     550       3.5981      11.9618
     551       3.7696      12.7118
     552       3.4438       7.8691
     553       3.6818      16.2276
     554       3.6261      13.2109
     555       4.1287       5.0292
     556       4.2154      11.2403
     557       4.1881      15.3291
     558       3.9617      19.6912
     559       3.6954       7.8066
     560       4.1368       8.0973
     561       4.1240      13.3676
     562       4.4186      14.8276
     563       4.4766      17.0407
     564       4.1170      13.8202
     565       4.3790      14.7767
     566       4.0822       8.5006
     567       4.7828      15.0657
     568       3.9200      17.1443
     569       3.6257      17.9436
     570       4.3343      25.7894
     571       3.8904      25.2750
     572       3.7877      16.9706
     573       4.0411      19.9801
     574       4.5516      25.6965
     575       3.8517       9.1371
     576       3.6927      14.5939
     577       3.7716      16.4862
     578       3.8050      26.6305
     579       3.7020      21.4104
     580       3.9639       7.2280
     581       3.6463       8.7615
     582       4.2811      24.0977
     583       3.8551      17.1983
     584       3.9016      12.6733
     585       3.8203      11.4290
     586       3.8824      16.0644
     587       3.8702      13.2401
     588       3.6245       8.4408
     589       3.6854      14.3348
     590       4.0103      13.9849
     591       3.9980       8.1975
     592       3.6499      19.3349
     593       3.7984      11.8104
     594       4.6931      14.9349
     595       3.8672      32.8085
     596       3.9648      12.9289
     597       3.9926       5.0174
     598       3.7899      22.7864
     599       4.1086       0.4776
     600       4.3961      31.2289
     601       3.6026      19.9815
     602       3.9378       8.4160
     603       3.9064      26.7807
     604       4.1227      30.5496
     605       3.3925       4.8150
     606       3.6556      10.0906
     607       3.7069      19.3602
     608       4.5526      21.2903
     609       4.9749      29.1497
     610       3.5341      13.7328
     611       3.6944       4.6627
     612       4.6170       8.5602
     613       3.8175      13.1381
     614       3.7016      20.1621
     615       4.4311      17.7993
     616       4.3384       5.6677
     617       3.9623       6.3445
     618       4.6359      71.5070
     619       4.5488      17.4951
     620       3.8442      12.7653
     621       4.0376      22.2400
     622       4.8198      43.6200
     623       5.1160      59.7104
     624       4.5576      66.8320
     625       4.6947      48.9598
     626       5.2014      64.1103
     627       4.1497      11.1224
     628       4.4593      43.0525
     629       3.9228      27.1948
     630       3.9369      30.5692
     631       4.2620      41.0201
     632       4.9378      42.0235
     633       3.5694      23.8965
     634       4.6072      35.9075
     635       4.1914      24.2847
     636       4.6994      41.1357
     637       3.9509      27.7647
     638       4.0800      17.2112
     639       4.4257      17.5236
     640       4.5101      40.9497
     641       3.9158      13.7305
     642       3.8926      27.9439
     643       4.2769      19.8019
     644       4.0039      21.0234
     645       4.5344      33.5577
     646       3.8926      26.1962
     647       5.2087      26.4069
     648       3.6965      22.5702
     649       3.8928       3.2051
     650       4.9038     102.1253
     651       4.0874      20.0964
     652       4.4931      26.6577
     653       3.8149      13.7321
     654       3.9723      32.6009
     655       4.0108      16.7863
     656       4.1267      26.6857
     657       4.0789      14.9062
     658       3.9777      16.4372
     659       4.4047      38.6113
     660       4.1508      22.1091
     661       4.1560      18.8194
     662       4.2600      11.4050
     663       4.4738      21.3987
     664       4.0326      16.1927
     665       4.3261       3.4946
     666       3.8399      24.9299
     667       4.4596      16.0615
     668       4.3132      36.7374
     669       4.1951      13.8268
     670       4.1504      11.1317
     671       3.9977      30.2795
     672       4.1475      16.9865
     673       3.9940      17.7840
     674       4.4339      20.5843
     675       4.3137      10.1827
     676       4.2287      22.1229
     677       4.2144      25.6726
     678       4.1205      20.7624
     679       4.0224      16.3791
     680       3.9282      19.8456
     681       3.5976      13.8211
     682       4.1262      17.8962
     683       4.3792      33.8434
     684       3.7858      16.1673
     685       3.8863      29.7136
